LH No.,Subject:,Date,Tags,Description
75-0079,"Caton, N.Y.",1923,mobile home; 1920s; rural dwelling; woman in doorway; black and white photograph,"A 1923 black and white photograph showing a woman standing in the doorway of a mobile house trailer at Brewer Place in Caton, New York, with various household items and containers visible outside the structure."
75-0079,Cora Everling,1923,mobile home; 1920s; rural dwelling; woman in doorway; black and white photograph,"A 1923 black and white photograph showing a woman standing in the doorway of a mobile house trailer at Brewer Place in Caton, New York, with various household items and containers visible outside the structure."
75-0083,Covered Bridges,1880,covered bridge; wooden structure; rural landscape; bare trees; black and white photograph,"A black and white photograph from 1880 showing a covered bridge structure with wooden siding spanning across a rocky streambed, surrounded by bare trees and rural terrain in what appears to be the Corning, New York area."
75-0084,"Caton, N.Y., Schools",1925,schoolhouse; white wooden building; caton ny; 1925; black and white photograph,"A white wooden schoolhouse in Caton, New York, photographed in 1925, featuring multiple windows along its side, a front entrance with steps, and a chimney, surrounded by grass and trees."
75-0085,"Caton, N.Y., Schools",1956,rural schoolhouse; caton ny; 1950s architecture; black and white photograph; wooden building,"A black and white photograph from 1956 showing a small wooden schoolhouse in Caton, New York, with a front porch, multiple windows, and outbuildings, situated in a rural landscape with bare trees and stone walls."
75-0086,"Caton, N.Y., Schools",1971,wooden schoolhouse; caton ny; rural education; 1971; black and white photograph,"A wooden schoolhouse in Caton, New York, photographed in 1971, showing a single-story structure with a peaked roof, wooden siding, and overgrown vegetation in the foreground, with additional outbuildings visible to the right."
75-0087,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; 1971; black and white photograph; rural building,"A small wooden schoolhouse in Caton, New York, photographed in 1971, showing a white-painted structure with multiple windows, a front porch, and a pitched roof surrounded by tall trees."
75-0088,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; wooden building; rural architecture; black and white photograph,"A 1971 black and white photograph of a small wooden schoolhouse in Caton, New York, featuring a single-room structure with a pyramidal roof, front entrance, and large window, surrounded by overgrown vegetation and trees."
75-0089,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; white wooden building; rural architecture; black and white photograph,"A 1971 black and white photograph of a small white wooden schoolhouse in Caton, New York, featuring a front porch, pitched roof with chimney, and three windows, surrounded by bare trees and a rural road."
75-0090,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; wooden building; 1971; black and white photograph,"A one-room wooden schoolhouse in Caton, New York, photographed in 1971, featuring white clapboard siding, a pyramidal roof with chimney, front entrance with covered porch, large multi-pane windows, and surrounded by overgrown grass and mature trees."
75-0091,"Caton, N.Y., Schools",1971,wooden schoolhouse; caton ny; rural education; 1971; black and white photograph,"A one-room wooden schoolhouse in Caton, New York, photographed in 1971, featuring white clapboard siding, two large windows, a front porch, and surrounded by overgrown vegetation and trees."
75-0092,"Caton, N.Y., Schools",1971,caton school building; white wooden structure; rural schoolhouse; 1971; black and white photograph,"A black and white photograph from 1971 showing a small white wooden schoolhouse in Caton, N.Y., with a gabled roof, multiple windows, front entrance with steps, and an attached addition, surrounded by trees and dirt grounds."
75-0093,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; wooden building; rural architecture; black and white photograph,"A small wooden schoolhouse in Caton, New York, photographed in 1971, featuring white clapboard siding, a front porch with railings, tall windows, and surrounded by overgrown vegetation and trees."
75-0094,"Caton, N.Y., Schools",1971,schoolhouse; caton ny; rural building; white wood siding; black and white photograph,"A one-room schoolhouse with white wooden siding, a cupola, and chimney stands in a rural field in Caton, New York, photographed in 1971 for the Corning local history archive."
75-0095,Isabel Walker Drake Family Photo,c. 1900,family portrait; early 1900s; child; white picket fence; bare trees,"A young child from the Isabel Walker Drake family stands on a wooden deck beside a white picket fence wearing a plaid dress and large bonnet with white ribbons, photographed circa 1900 in Corning, NY."
75-0096,Isabel Walker Drake Family Photo,c. 1900,portrait; turn-of-the-century; bare trees; residential buildings; oval vignette photograph,"A circa 1900 portrait photograph of a man in dark clothing standing beneath bare trees with residential buildings and a hillside visible in the background, presented in an oval vignette format typical of the era."
75-0097,Isabel Walker Drake Family Photo,c. 1900,,
75-0099,Isabel Walker Drake Family Photo,c. 1900,rural homestead; dirt road; lake landscape; early 1900s photograph; handwritten caption,"A circa 1900 photograph showing a rural homestead at Bluff Point, Keuka Lake, North Dakota, with a dirt road leading past several houses and outbuildings surrounded by vegetation, with the lake and forested hills visible in the background, and handwritten text identifying the location and referencing the Isabel Walker Drake family."
75-0100,Blacksmithing,,,
75-0101,"Caton, N.Y.",1960,,
75-0102,Blacksmithing,1973,blacksmith shop; caton new york; winter snow; wooden building; rural structure,"A snow-covered blacksmith shop building in Caton, New York, photographed in winter 1973, showing a wooden structure with multiple windows, a peaked roof, and evergreen trees in the foreground behind a wooden fence."
75-0102,"Caton, N.Y.",1973,blacksmith shop; caton new york; winter snow; wooden building; rural structure,"A snow-covered blacksmith shop building in Caton, New York, photographed in winter 1973, showing a wooden structure with multiple windows, a peaked roof, and evergreen trees in the foreground behind a wooden fence."
75-0104,"Caton, N.Y.",1970,white church building; bare trees; winter snow; rural road; black and white photograph,"A white wooden church with a steeple in Caton, New York, photographed in winter 1970, showing the building's Gothic-style windows and front entrance along a snowy rural road, framed by a large bare tree in the foreground."
75-0105,"Caton, N.Y.",1973,aerial photograph; rural settlement; caton ny; 1973; black and white photograph,"An aerial view of Caton, New York from 1973 showing a rural hamlet with scattered houses, farm fields, roads, and forested areas in a black and white photograph."
75-0112,Floods,1972,flooded landscape; white church; submerged fields; 1972 flood; black and white photograph,"A black and white photograph documenting the 1972 flood in Corning, NY, showing a white church partially surrounded by floodwaters with submerged farmland, fencing, and trees in the background."
75-0114,"Denison Park, Corning, N.Y. ",1909,,
75-0115,"Addison, N.Y.",,high school building; addison new york; bare trees; early 20th century; black and white photograph,"This historical photograph shows the High School in Addison, N.Y., a large Victorian-era brick building with a distinctive tower and cupola, surrounded by bare trees and an open campus with several figures visible on the grounds, published by G. R. Waterman."
75-0117,Civil War,1863,civil war medal; battle of chickamauga; commemorative medal; military decoration; black and white photograph,"A Civil War commemorative medal depicting the Battle of Chickamauga with an ornate silver clasp and striped ribbon, dedicated to the September 19-20, 1863 battle."
75-0118,Civil War,1860s,utensil; fork and spoon; metal; artifact; vintage cutlery,"A photograph of a combined fork and spoon utensil with a dark metal handle featuring rivets and a light-colored bowl and prongs, appearing to be a historical artifact from the Civil War era."
75-0119,Civil War,1860s,civil war artifact; bayonet; military weapon; metal blade; black and white photograph,"A close-up photograph of a Civil War-era bayonet with a metal blade and dark handle, displayed against a light background."
75-0122,Civil War,1862,civil war discharge document; military certificate; handwritten text; 1862; official government document,"An official Civil War-era discharge document dated January 8, 1862, from Benton Barracks certifying the discharge of Private William McWilliams from Captain's Company, 1st Regiment of Pennsylvania Infantry, due to a special order by Major General Henry W. Halleck, with physical description and signature of commanding officer."
75-0123,Civil War,1860,civil war era envelope; general winfield scott; patriotic imagery; handwritten address; 1859 postmark,"An 1859 patriotic envelope featuring a portrait of General Winfield Scott with an eagle and American flags, addressed in handwriting to Flemingsburg, Ohio, with text describing Scott as ""Brave in the Field, Wise in Council, a true Patriot, Loyal to the Constitution and the Union."""
75-0126,Civil War,1863,,
75-0128,Isabel Walker Drake Family Photo,c. 1900,winter scene; snow; woman with child; residential neighborhood; black and white photograph,"A woman identified as part of the Isabel Walker Drake family holds a young child in a snowy yard circa 1900, with bare trees, a picket fence, and Victorian-era houses visible in the background in Corning, NY."
75-0129,Isabel Walker Drake Family Photo,c. 1900,victorian house; woman with bicycle; front porch; circa 1900; black and white photograph,"A woman in early 1900s dress stands with a bicycle in front of a Victorian-era house featuring a wraparound porch with decorative railings and ornamental trim in Corning, NY, as part of the Isabel Walker Drake Family Photo collection."
75-0130,Isabel Walker Drake Family Photo,c. 1900,rural farm; family group; early 1900s; agricultural setting; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family posed outdoors on a rural farm property in Corning, NY, showing multiple family members near a two-story house with outbuildings and cultivated fields visible in the background."
75-0131,Balloonists,1900,hot air balloon; early aviation; outdoor gathering; riverside landscape; black and white photograph,"A large hot air balloon is tethered in a field near a river in Corning, NY around 1900, with spectators gathered to observe the aircraft, hills visible in the background, and period buildings along the riverbank."
75-0132,Isabel Walker Drake Family Photo,c. 1900,rural landscape; woman with dog; early 1900s; bare trees; utility poles; black and white photograph,"A woman in dark clothing stands with a white dog on a rural dirt road lined with bare trees and utility poles, with farm buildings visible in the background, circa 1900."
75-0133,Isabel Walker Drake Family Photo,c. 1900,family portrait; winter scene; horse; victorian house; black and white photograph,"The Isabel Walker Drake family is photographed circa 1900 standing with a horse in front of a Victorian-era house in snowy conditions, with bare trees visible along a residential street in Corning, NY."
75-0134,Isabel Walker Drake Family Photo,c. 1900,,
75-0135,Isabel Walker Drake Family Photo,c. 1900,family gathering; early 1900s; outdoor event; period clothing; black and white photograph,"A turn-of-the-century outdoor gathering of the Isabel Walker Drake family and others in a rural setting, with women in long skirts and men in suits standing along a dirt road near tents and hillside landscape."
75-0136,Isabel Walker Drake Family Photo,c. 1900,ice skating; frozen river; family group; winter recreation; early 1900s photograph,"A black and white photograph from circa 1900 showing the Isabel Walker Drake family ice skating on a frozen river or pond, with bare winter landscape and hills visible in the background."
75-0137,Isabel Walker Drake Family Photo,c. 1900,frozen river; winter recreation; early 1900s; family gathering; black and white photograph,"A woman from the Isabel Walker Drake family sits on a frozen river or pond circa 1900, with several other people visible in the background on the ice near bare winter trees and hillsides in what appears to be the Corning, NY area."
75-0138,Isabel Walker Drake Family Photo,c. 1900,,
75-0139,Isabel Walker Drake Family Photo,c. 1900,horse-drawn carriage; residential street; victorian houses; bare trees; black and white photograph,"A circa 1900 photograph showing the Isabel Walker Drake family with a horse-drawn carriage on a residential street lined with Victorian-era houses in Corning, NY, with bare trees and unpaved roads visible."
75-0140,Isabel Walker Drake Family Photo,c. 1900,two women; early 1900s fashion; metal bridge; rural landscape; black and white photograph,"A circular black and white photograph from circa 1900 showing two women in period dress and elaborate hats standing at a wooden railing overlooking a rural valley with a metal truss bridge visible in the distance, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive."
75-0141,Isabel Walker Drake Family Photo,c. 1900,early automobile; racing car; spectators; early 1900s; black and white photograph,"A composite photograph showing an early racing automobile with a driver at the top, and two scenes below depicting groups of spectators in period dress (circa 1900) gathered to observe the vehicle, documenting the Isabel Walker Drake family's connection to early automotive history in Corning, NY."
75-0142,Isabel Walker Drake Family Photo,c. 1900,interior domestic space; woman; early 1900s; black and white photograph; period furniture,"A black and white photograph from circa 1900 showing a woman identified as part of the Isabel Walker Drake family standing in an interior room with period furniture, decorative wall panels, and framed artwork visible in the background."
75-0143,Isabel Walker Drake Family Photo,c. 1900,women's baseball team; early 1900s; uniforms; group portrait; black and white photograph,"A circa 1900 women's baseball team poses for a formal group photograph wearing uniforms marked with ""CBB"" or similar lettering, with a small dog and basketball visible in the front row, likely representing the Isabel Walker Drake family or associated Corning, NY organization."
75-0144,Isabel Walker Drake Family Photo,c. 1900,,
75-0145,Isabel Walker Drake Family Photo,c. 1900,family portrait; winter landscape; early 1900s; children; snow; bare trees; rural setting; black and white photograph,A black and white photograph from circa 1900 showing the Isabel Walker Drake family—four children dressed in winter coats standing outdoors in a snowy landscape with bare trees and a distant hillside vista visible in the background.
75-0146,Isabel Walker Drake Family Photo,c. 1900,,
75-0147,Isabel Walker Drake Family Photo,c. 1900,winter scene; snow; sledding; bare trees; black and white photograph; early 1900s; residential street,"A winter scene from circa 1900 showing a person on a sled in a snowy street lined with bare trees and residential buildings, part of the Isabel Walker Drake Family Photo collection from Corning, NY."
75-0148,Isabel Walker Drake Family Photo,c. 1900,horse-drawn carriage; turn-of-the-century; residential property; black and white photograph; circular vignette,"A circa 1900 black and white photograph showing a horse and carriage in front of a residential property with large trees, featuring a circular vignette framing typical of the era, related to the Isabel Walker Drake family of Corning, NY."
75-0149,Isabel Walker Drake Family Photo,c. 1900,interior room; china cabinet; decorative objects; wallpaper; early 1900s; black and white photograph,"This circa 1900 black and white photograph shows an interior room from the Isabel Walker Drake Family home in Corning, NY, featuring a large glass-fronted china cabinet displaying porcelain and ceramic pieces, framed artwork on floral wallpapered walls, and period furniture including a chair and decorative objects arranged on shelves and surfaces."
75-0150,Isabel Walker Drake Family Photo,c. 1900,family photograph; early 1900s; black and white; multiple images; outdoor scenes,"A composite archival photograph showing the Isabel Walker Drake Family with multiple circular and rectangular vignettes depicting a woman in Edwardian dress on a porch, people gathered at a riverside or waterfront location, and various outdoor scenes from circa 1900."
75-0151,Isabel Walker Drake Family Photo,c. 1900,,
75-0152,Isabel Walker Drake Family Photo,c. 1900,,
75-0153,Isabel Walker Drake Family Photo,c. 1900,family portrait; early 1900s; victorian clothing; residential street; black and white photograph,"A circa 1900 photograph showing two women in Victorian-era dress standing on a residential street in Corning, NY, with period homes and fencing visible in the background, identified as members of the Isabel Walker Drake family."
75-0154,Isabel Walker Drake Family Photo,c. 1900,outdoor gathering; baseball game; rural landscape; early 1900s; black and white photograph,"A circa 1900 black and white photograph showing people playing baseball in an open field with forested hills in the background, likely depicting a recreational activity of the Isabel Walker Drake family in the Corning, NY area."
75-0155,Isabel Walker Drake Family Photo,c. 1900,woman seated; large tree; historic house; early 1900s; black and white photograph,"A woman identified as part of the Isabel Walker Drake family sits on a log beneath a large bare tree in the yard of a Victorian-era house in Corning, NY, circa 1900."
75-0156,Isabel Walker Drake Family Photo,c. 1900,family portrait; woman with baby carriage; early 1900s; residential street; bare trees,"A woman identified as part of the Isabel Walker Drake family stands with a baby carriage on a wooden porch or boardwalk, with bare trees and residential houses visible in the background in this circa 1900 photograph from Corning, NY."
75-0157,Isabel Walker Drake Family Photo,c. 1900,baseball game; early 1900s; rural landscape; black and white photograph; wooden fence,"A baseball game in progress circa 1900 showing players in period uniforms on a field with wooden fencing, hills, and scattered buildings visible in the background, likely documenting a recreational activity of the Isabel Walker Drake family era in Corning, NY."
75-0158,Isabel Walker Drake Family Photo,c. 1900,family property; bare trees; horse-drawn carriage; white picket fence; early 1900s photograph,"A black and white photograph from circa 1900 showing the Isabel Walker Drake family property in Corning, NY, featuring a residential scene with bare deciduous trees, a white picket fence in the foreground, period buildings, and a horse-drawn carriage on the grounds."
75-0159,Isabel Walker Drake Family Photo,c. 1900,family photograph; early 1900s; residential buildings; bare trees; black and white photograph,"A composite archival photograph from circa 1900 showing multiple scenes of the Isabel Walker Drake family in Corning, NY, including outdoor domestic scenes with family members near residential buildings and bare winter trees, with handwritten notations visible on the print margins."
75-0161,Isabel Walker Drake Family Photo,c. 1900,horse-drawn carriage; residential property; turn-of-century; circular vignette; black and white photograph,"A circa 1900 black and white photograph showing a horse-drawn carriage in front of a residential property with large shade trees, captured in a circular vignette format typical of the era."
75-0162,Isabel Walker Drake Family Photo,c. 1900,,
75-0163,Isabel Walker Drake Family Photo,c. 1900,family group; early 1900s; black and white photograph; children; adults; outdoor setting,"A black and white photograph from circa 1900 showing the Isabel Walker Drake family with multiple adults and children gathered outdoors near what appears to be a building or structure, with handwritten archival notation visible on the left margin."
75-0164,Isabel Walker Drake Family Photo,c. 1900,family group; residential street; early 1900s; wooden houses; black and white photograph,"A circa 1900 photograph showing members of the Isabel Walker Drake family standing in a residential street lined with wooden houses and utility poles in Corning, NY."
75-0165,Isabel Walker Drake Family Photo,c. 1900,,
75-0166,Isabel Walker Drake Family Photo,c. 1900,family photograph; horse-drawn carriage; early 1900s; rural landscape; black and white photograph,"A black and white photograph from circa 1900 showing the Isabel Walker Drake family with a horse-drawn carriage in a rural setting with bare trees, mountains in the background, and a picket fence in the foreground."
75-0167,Isabel Walker Drake Family Photo,c. 1900,family gathering; early 1900s clothing; parasols; street scene; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family and associates gathered on a street, with several adults holding parasols and umbrellas, wearing period formal attire typical of the turn-of-the-century era."
75-0168,Isabel Walker Drake Family Photo,c. 1900,family portrait; early 1900s; women and child; park setting; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family showing three women and a child posed in a tree-lined park or garden setting, with handwritten archival notations visible on the photograph margins."
75-0169,Isabel Walker Drake Family Photo,c. 1900,steam locomotive; railroad bridge; industrial landscape; river reflection; early 1900s photograph,"A black and white photograph from circa 1900 showing a steam locomotive crossing a metal railroad bridge over a river, with industrial buildings and smokestacks visible in the background landscape of what appears to be Corning, NY."
75-0170,Isabel Walker Drake Family Photo,c. 1900,horse-drawn carriage; family group; early 1900s; urban street; black and white photograph,"A circa 1900 photograph of the Isabel Walker Drake family seated in a horse-drawn carriage on an urban street with multi-story buildings visible in the background, captured in a circular vignette format typical of the era."
