LHNo,filename,extension,size_bytes,size_human,width_px,height_px,megapixels,md5,sha256,Subject,Date,Tags,Description,url
75-0012,lh-75-0012.jpg,jpg,808623,789.7 KB,2672,2120,5.66,852aa505af1d76d37d112ee2c3e0a914,d98f23ed5f06c96153a835b8078f0dc7b81dd6967fb0125a2385fc09deb19f33,Floods,1935,flooded street; residential neighborhood; wooden houses; 1935 flood; black and white photograph,"This photograph documents the flooding on High Street in Painted Post, New York on July 8, 1935, showing residential wooden structures partially submerged in floodwaters with trees visible in the background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0012.jpg
75-0013,lh-75-0013.jpg,jpg,982645,959.6 KB,2936,2320,6.81,baeeaa9e61c11b8cd886fff6f6f41938,6591f9952f68c6cc33c54a2fceaebb1f41b7221e850f0698aec6733d71adce91,Floods,1935,flooded street; residential buildings; utility poles; 1935 flood; black and white photograph,"This black and white photograph shows the July 8th flood at Painted Post, New York, with water inundating a residential area containing multiple wooden buildings, utility poles, and railroad tracks visible in the foreground.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0013.jpg
75-0014,lh-75-0014.jpg,jpg,657560,642.1 KB,2944,2328,6.85,944a8ed6df99d9385c9db556a55ab53b,85392f150b10faabeb9d30fa7c5110d8f4a8831803decac54b152b4f3f256858,Corning Glass Works Floods,1946,flooded interior; wooden chairs; water damage; 1946 flood; black and white photograph,"A black and white photograph showing the interior of a flooded building with water covering the floor, displaced wooden chairs, and debris scattered throughout, documenting damage from the 1946 Corning flood.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0014.jpg
75-0015,lh-75-0015.jpg,jpg,726351,709.3 KB,2336,2952,6.9,a3081b95638d6d884ee945d124a30d0f,35091177cf192f5640dbfc5f200a07eae3be921fda4767c5d7aaa39b2e69e7f8,NULL,NULL,portrait photograph; circular frame; man; early 20th century; black and white,"A black and white portrait photograph of a man in profile within a circular frame, numbered ""5"" and captioned with partial text reading ""of Their Fellow Towns-,"" suggesting this is part of a larger publication or collection of local notable figures from Corning, NY.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0015.jpg
75-0017,lh-75-0017.jpg,jpg,791424,772.9 KB,2056,2976,6.12,422ce309abee7d3c3774756751cfdb8b,c67885c771a0d957c46b47fc45c0eb061b8dabe22a144d4d9e844f2392905cd7,NULL,NULL,portrait photograph; sailor uniform; early 20th century; black and white; oval vignette,"A black and white portrait photograph of a person in a naval sailor uniform with a distinctive hat, white gloves, and sailor collar, presented in an oval vignette format with the number ""3"" visible in the lower right corner.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0017.jpg
75-0018,lh-75-0018.jpg,jpg,737330,720.0 KB,2223,2744,6.1,96a21d212c1cbc3911973eebf58c41af,093ea903dcd02620f936f0a4e90ec1bbbbb0842b8080a9a130cb4eaacf859a8e,NULL,NULL,portrait photograph; man; formal headshot; early 20th century; black and white,"A formal black and white portrait photograph of a man in professional attire with slicked-back hair, numbered ""4"" at the bottom left, appearing to be from an early 20th-century publication or directory.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0018.jpg
75-0019,lh-75-0019.jpg,jpg,1362843,1.3 MB,2352,2944,6.92,279bb2d3cd76f1ef777b71489454f779,e4f0756371ed20585a331fa32a6ad908dd89d9be62295bfac0dc5687aaca69df,NULL,NULL,world war i; military portrait; soldier; corning; 1918,"A black and white photograph showing a soldier in World War I military uniform and campaign hat, captioned ""Corning's Part in the World War 1918,"" documenting a local serviceman's contribution to the war effort.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0019.jpg
75-0020,lh-75-0020.jpg,jpg,642726,627.7 KB,2384,2912,6.94,578d71db6750b76f6a7da7f6454f24e9,c2ec477e9a727b27b3066910cbfa9f3333d87a666b6d0c126e0a4be244c85e26,NULL,NULL,portrait photograph; man; black and white; early 20th century; formal headshot,"A black and white portrait photograph of a man wearing a suit and white shirt collar, shown in profile against a plain background, typical of early 20th-century formal portraiture.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0020.jpg
75-0021,lh-75-0021.jpg,jpg,525805,513.5 KB,2336,2088,4.88,c6307ec540b0bb397ae2f9e81026859a,002973b5e11fd64b951da6b00933a88fefed61d33e7fbab2b79e3100c6750272,Robert Austin,1918,portrait photograph; man; 1918; black and white; formal attire,"A formal black and white portrait photograph from 1918 showing Robert Austin, a man wearing a suit with a bow tie and white collar, photographed in profile against a dark background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0021.jpg
75-0022,lh-75-0022.jpg,jpg,1034780,1010.5 KB,2391,2935,7.02,bb3e4cc2bdb216766bd0e15ffa3da1ee,da31e513e3f43ca695c92a436883544f49d3d7e623f0833f6652da461d9058d5,Thomas J. Cunningham,1918,portrait photograph; man; 1918; formal attire; black and white photograph,"A formal black and white portrait photograph from 1918 showing Thomas J. Cunningham, a man wearing a suit jacket, white dress shirt, and patterned tie, photographed from the shoulders up against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0022.jpg
75-0023,lh-75-0023.jpg,jpg,679363,663.4 KB,2471,3048,7.53,9d03b01e4ee9d503c706055cc239466f,74abf67cc52fc70b0c750d615e657daca53dc3a475e86980872745495941aa61,NULL,NULL,sailor uniform; portrait photograph; military; black and white; vintage,"A black and white portrait photograph of a man wearing a World War-era sailor uniform with a white cap and dark neckerchief, with partial text visible at the top of the image and archival numbering at the bottom.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0023.jpg
75-0024,lh-75-0024.jpg,jpg,522473,510.2 KB,2336,2856,6.67,f48ce8e3cda3090487024a9f0d5d1c5f,4ee4577ff8d5121cf9b260d9307c9f9a8a72b26868ce2f43beceb3b05f6df328,NULL,NULL,portrait photograph; man; wide-brimmed hat; early 20th century; black and white,"A black and white portrait photograph of a man wearing a wide-brimmed hat and patterned shirt, holding what appears to be a tool or implement, from the Corning local history archive.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0024.jpg
75-0025,lh-75-0025.jpg,jpg,765497,747.6 KB,2376,2920,6.94,831ef2f16a178629164e7eb822cbbba2,40456662a8e0c2a6ca1d2f0d61b1c864664c2a74c6a3739cc4bac4fdd0d04700,NULL,NULL,world war i; military uniforms; 1918; portrait photographs; soldiers,"A black and white photograph showing two men in World War I military uniforms from 1918, with a banner at the top reading ""...CORNING'S PART in the WORLD WAR, 1918,"" documenting local servicemen's participation in the war effort.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0025.jpg
75-0026,lh-75-0026.jpg,jpg,746691,729.2 KB,2335,2943,6.87,4279f11b390ef09ecb212f80371ffb0c,922b99057a62ee922c7174ac412e2a0fe2028487edd14f5046f333f70df15602,NULL,NULL,portrait photograph; man; black and white; early 20th century; formal headshot,"A black and white portrait photograph of a man with a mustache wearing formal attire with a dark suit and white collar, shown in a three-quarter view against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0026.jpg
75-0027,lh-75-0027.jpg,jpg,1014952,991.2 KB,2360,2952,6.97,74fda63ced3f5a3104f7d00358ff5688,18c713dd90959a2b46e8cd6a5fb7696efbb3fa97240ce41b2fa0c8f8077232af,NULL,NULL,portrait photograph; military uniform; man; black and white; early 20th century,"A black and white portrait photograph of a man wearing a military uniform with collar insignia and buttons, shown from the shoulders up against a textured background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0027.jpg
75-0028,lh-75-0028.jpg,jpg,1079701,1.0 MB,2383,2951,7.03,9696e4877c7b774df74af71e1a4772a7,fa107b889c19be85abc15189b021b626e3f6ae9267cc0fc3c4804c308d08b9c9,NULL,NULL,military portrait; naval officer; white uniform; early 20th century; black and white photograph,"A formal black and white portrait photograph of a naval officer wearing a white dress uniform with shoulder boards and a naval cap with insignia, photographed against a textured studio background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0028.jpg
75-0029,lh-75-0029.jpg,jpg,882236,861.6 KB,2328,2944,6.85,dca8d6afa0bc7b96d0927bb3d87ccc2f,08857ae7534c601eef1ba0de26280da7fa98d9cf1d799249f0cf6c6f04bf4608,John H. Douherty,1918,portrait photograph; man; eyeglasses; formal attire; 1918,"A black and white portrait photograph from 1918 of John H. Dougherty, a man wearing oval-framed eyeglasses, a suit jacket, and a striped tie, shown from the shoulders up against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0029.jpg
75-0030,lh-75-0030.jpg,jpg,864512,844.2 KB,2336,2976,6.95,223f3f37e9e13691fd24584d4dd483a9,09961a4cdece76adfd3aa725c8bf8adc79ec9cc9c2a8d696f217cd041ee61d4c,NULL,NULL,portrait photograph; woman; early 1900s; hat; white collar,"A black and white portrait photograph of a woman wearing an elaborate feathered hat and dark dress with a white collar, shown in profile view against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0030.jpg
75-0031,lh-75-0031.jpg,jpg,815814,796.7 KB,2360,2864,6.76,df4dc61d8d5dc5ffc43e88c7810734be,c5d6d3d7ea582a365fec985fb2df5046b4ed74e2ffa439ce8145d5142daf4aa6,NULL,NULL,portrait; man; early twentieth century; black and white photograph; hand-tinted,"A hand-tinted black and white portrait photograph of a man with dark hair and a distinctive mustache, shown in profile facing left, wearing what appears to be a military or formal uniform with yellow-gold coloring visible on the shoulder.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0031.jpg
75-0032,lh-75-0032.jpg,jpg,478038,466.8 KB,2320,2927,6.79,c396d7d899732d42e3f8b64ec2efe47a,6b557b7c2ead627323805a049237e03528b20198374634b952757d02ec9bedff,NULL,NULL,portrait; profile; man; black and white photograph; early 20th century,"A black and white profile portrait photograph of a man shown in side view, wearing formal attire with a collar visible, against a textured background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0032.jpg
75-0033,lh-75-0033.jpg,jpg,1102317,1.1 MB,2336,2952,6.9,991d98fd151627b7f60968064a40e0ac,db2c426f00edffa45790fafeb8af9c81897c2ba5d941db0bcf6a7bb7d5a1809d,NULL,NULL,portrait photograph; man; early 20th century; black and white; formal headshot,"A formal black and white portrait photograph of a man wearing a dark turtleneck sweater, shown in a three-quarter view against a dark background, with archival reference number ""2"" visible in the upper right corner.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0033.jpg
75-0034,lh-75-0034.jpg,jpg,972445,949.7 KB,2351,2951,6.94,919f16f955ec38dab4b8ec1f75a5bae8,4daebad06a1b0f6529dc46c58f2f30f88efdaf159458fcf150b0142098c1a175,NULL,NULL,portrait; military uniform; man; early 20th century; black and white photograph,"A black and white portrait photograph of a man wearing a military uniform with buttons and collar insignia, standing against a draped backdrop, with the number ""3"" visible in the lower right corner.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0034.jpg
75-0035,lh-75-0035.jpg,jpg,940247,918.2 KB,2312,2936,6.79,8acacd15f78947e5d689b1e82dc728ff,ac4c5c7fcdfecf5d204ca81839d3d949f9a3fcc702fab147b0654cab00e64f2a,NULL,NULL,military uniform; world war i; portrait; soldier; black and white photograph,"A black and white portrait photograph of a man in World War I military uniform wearing glasses and a campaign hat, standing at attention against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0035.jpg
75-0036,lh-75-0036.jpg,jpg,1065471,1.0 MB,2352,2952,6.94,2b367f06cc0ef77e0d34812848ef517c,37fa19f371a94f71ae0f856d51baed997e5f161700aa0268ffd792aa30bbedc0,NULL,NULL,military portrait; united states navy; sailor uniform; early 20th century; black and white photograph,"A formal black and white portrait photograph of a U.S. Navy sailor wearing a dress uniform with a cap labeled ""U.S. NAVY FORCE,"" sailor collar with white piping, and what appears to be a military decoration or insignia on his chest.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0036.jpg
75-0037,lh-75-0037.jpg,jpg,1069038,1.0 MB,2375,2951,7.01,23935d8a84dade1db7059e6b097812af,ec4fdaddab684a2887ea82b2a3800550a1e40d440bf6595ad52f43c9359fe96e,"""Four Minute Men""",1918,portrait photograph; four minute men; world war i; 1918; corning new york,"A black and white portrait photograph from 1918 showing a man in formal attire with the header text ""CORNING'S PART in the WORLD WAR 1918,"" documenting a Four Minute Men speaker from Corning, New York during World War I.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0037.jpg
75-0038,lh-75-0038.jpg,jpg,896860,875.8 KB,2344,2952,6.92,964c189d5add09276f66d19a2d793598,c6a2eb39c5947515b90b1f04f6306f548d4ae462f95824fb0bc0c1eea56c72dc,NULL,NULL,portrait photograph; man; cowboy hat; military uniform; black and white photograph,"A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat with a decorative band and a military-style jacket with buttons and chest pockets, appearing to be from the early 20th century.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0038.jpg
75-0039,lh-75-0039.jpg,jpg,1029575,1005.4 KB,2151,2687,5.78,497c3749b742c189016ba9b29b47a439,b81e25a90adf26130ca4b6ff4c77546122220d4c55b546b105ddd38b6743e44f,Lynn A. Frence,1918,portrait photograph; man; 1918; black and white; formal headshot,"A formal black and white portrait photograph from 1918 showing a man identified as Lynn A. Frence in a three-quarter view, wearing a collared shirt with a button visible, against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0039.jpg
75-0040,lh-75-0040.jpg,jpg,1118938,1.1 MB,2343,2935,6.88,cf52e831eb1fef3764557cabc0a1e787,2b73c99daeeef44d557b83b08e5d6d4117150f1d202cd45b55e8df79e95b8f65,NULL,NULL,portrait photograph; man; early 20th century; black and white; formal headshot,"A black and white portrait photograph of a man in profile facing left, wearing a textured jacket or sweater with a high collar, photographed against a dark background in what appears to be an early 20th-century studio style.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0040.jpg
75-0041,lh-75-0041.jpg,jpg,737883,720.6 KB,2152,2688,5.78,d076b5622e54327bd8846f8b7c3bc2a1,b424b806e86bf2c139f92c57708e3adedbb703b958e52a2aa0a03565d4dacdab,James P. Conny,1918,portrait photograph; man; sailor uniform; 1918; black and white,"A black and white portrait photograph from 1918 showing James P. Conny wearing a sailor's uniform with striped collar detail, taken for the Corning, NY local history archive.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0041.jpg
75-0042,lh-75-0042.jpg,jpg,964809,942.2 KB,2352,2936,6.91,a2b281a848470609c26f4c49100af3f7,bb3db113c670595b1f1cbe051168c5192ea48f9e4c66b252ee2c2ca97caf20ad,NULL,NULL,portrait photograph; man; black and white; early 20th century; headshot,"A black and white portrait photograph of a young man wearing a dark collared shirt, shown from the shoulders up against a plain background, typical of early 20th-century studio portraiture.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0042.jpg
75-0043,lh-75-0043.jpg,jpg,933859,912.0 KB,2335,2920,6.82,13ee28559ae81f57ad2a93f6d483e20d,0af8f986063ea450d444fce942a9c5b11c17e9d33e3848b4c0569abaf16c0645,Albert J. Barrett,1918,world war i soldier; military uniform; rifle with bayonet; portrait; black and white photograph,"A 1918 portrait photograph of a World War I soldier in uniform holding a rifle with bayonet attachment, wearing a military hat and belt, posed against a wooden backdrop with decorative stars.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0043.jpg
75-0044,lh-75-0044.jpg,jpg,576962,563.4 KB,2336,2952,6.9,dfd9eb310b719e60804ac186195dce99,9e44d978bbbd9742a75985714f4535f199757d0ca28975a7308ea97066b971ca,NULL,NULL,world war i; military portrait; naval officer; 1918; corning new york,"A black and white portrait photograph from 1918 titled ""Corning's Part in the World War"" showing a U.S. Navy officer in uniform with a sailor's cap, representing a local serviceman's contribution to World War I.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0044.jpg
75-0045,lh-75-0045.jpg,jpg,574043,560.6 KB,2240,3008,6.74,05eaa382d041f5e818fc64d3ae67817c,86b66a1ce222e744be99e63121a602febe8891d44cf723f51532db99da43b945,NULL,NULL,portrait photograph; military uniform; man; early 20th century; black and white,"A black and white portrait photograph of a man wearing a military uniform with a cap and collar insignia, with decorative text and floral design visible at the top of the image.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0045.jpg
75-0046,lh-75-0046.jpg,jpg,1149367,1.1 MB,2135,2815,6.01,355ca2fcdbf2483ef6a860545c694561,315e982eff21ec4627570c63e70e7613f23eb0effa730940686392e515647158,NULL,NULL,portrait photograph; military uniform; man; black and white; early 20th century,"A black and white portrait photograph of a man wearing a military uniform with decorative insignia and buttons, shown in profile against a plain background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0046.jpg
75-0047,lh-75-0047.jpg,jpg,861221,841.0 KB,2400,2944,7.07,c264117e74ea7c3a09be2eafee823d3f,256ccaf2380eba17c0d3cdad00e91a53e29cbc25723a28b23a9b3167d11e8e6a,Cora Everson,1918,portrait photograph; woman; eyeglasses; 1918; black and white,"A black and white portrait photograph from 1918 showing Cora Everson, a woman wearing round eyeglasses and light-colored clothing, from the Corning, NY local history archive (ID: 75-0047).",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0047.jpg
75-0048,lh-75-0048.jpg,jpg,596961,583.0 KB,2320,2968,6.89,d33009b0cccb7b59c7d3a3c18845e5bb,33773336ab123e99cc28de1f4ecffe6e285871741192e9bb590948f23e893f03,NULL,NULL,portrait; man; cowboy hat; work clothes; black and white photograph,"A black and white portrait photograph of a man wearing a wide-brimmed cowboy hat, work shirt, and pants, standing outdoors with trees visible in the background, framed with decorative stars and marked with the number 4.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0048.jpg
75-0049,lh-75-0049.jpg,jpg,831954,812.5 KB,2695,2127,5.73,0cda1db84b6b1b276bb9f9fe5e53e74d,679684bd9b2e5619c4efe993cc922b4900fd2679b7cf3143c4da78a8d2ec7221,NULL,NULL,portrait photograph; black and white; oval frame; male subject; early 20th century,"A black and white portrait photograph of a man in profile view, presented in an oval frame with a decorative scalloped border, numbered ""6"" at the bottom left, typical of early 20th-century archival photography.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0049.jpg
75-0050,lh-75-0050.jpg,jpg,696996,680.7 KB,2384,3032,7.23,b6a6c2c7c9b43620f8953fb754be9d2a,14a0e7007708b7c07c79e420bbf9515eee4d1e8018d9c06c6cd2c48cf291a2c2,NULL,NULL,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and tie, showing a formal headshot typical of early 20th century photography.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0050.jpg
75-0051,lh-75-0051.jpg,jpg,895438,874.5 KB,2344,2992,7.01,6b2bdbb937ddc59674c3199d7a4ead88,ac0bb24487b3f0a09caeca6335163009243baac54380d969d73e191f58e56560,NULL,NULL,portrait photograph; man; formal attire; black and white; early 20th century,"A black and white portrait photograph of a man wearing a suit and tie, shown in profile-facing pose with a serious expression, typical of early 20th-century formal portraiture.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0051.jpg
75-0052,lh-75-0052.jpg,jpg,548764,535.9 KB,2360,2952,6.97,ac799e66e7ed1e3ded41bbd877c2fe1d,938b5b8940c258d0d8188c47a22d7edc91d8833e75634415f05cf7b5249a56b0,Ernest T. Brooks,1918,portrait; military uniform; world war i; soldier; black and white photograph,A black and white portrait photograph from 1918 showing Ernest T. Brooks wearing a World War I military uniform and campaign hat with a star insignia visible in the upper left corner.,https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0052.jpg
75-0053,lh-75-0053.jpg,jpg,1607627,1.5 MB,2360,2935,6.93,4676e9f49c498b4e0227f27e2b54f5b0,a66375fa7669d55f42ba150ad26ec8e8c530d0fa3281edf118ca449c9a4cd0e2,NULL,NULL,military uniform; portrait photograph; soldier; world war era; black and white photograph,"A black and white portrait photograph of a soldier wearing a World War I-era military uniform with campaign hat and light-colored tunic, standing indoors against a dark background.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0053.jpg
75-0054,lh-75-0054.jpg,jpg,579560,566.0 KB,2935,2383,6.99,a57c480c05d52eba4390c364af095490,9ed9ef41a3bf4f950eec653a71adb5d934ac12794645556de87878899f34fbb1,NULL,NULL,corning's world war; military portraits; numbered soldiers; black and white photograph; world war era,"A historical photograph from Corning, NY showing five numbered military personnel portraits arranged in star shapes with a decorative banner reading ""Corning's World War"" at the top, documenting local soldiers' service during World War I or II.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0054.jpg
75-0055,lh-75-0055.jpg,jpg,571731,558.3 KB,2928,2376,6.96,6568bfcb4d4cc1d2fd4d79cefa2b11d6,78b67a2768b1923358c8cb92d7adc34bde91cc9b76062612ae2b8070a311c260,Cora Everson,1918,portrait collage; black and white photograph; 1918; numbered figures; illustrated scenes,"A 1918 composite photograph featuring multiple numbered portraits and illustrations, including circular and star-shaped framed portraits of individuals, numbered scenes (5, 8), and what appears to be illustrated narrative panels, all arranged on a single page from the Corning, NY local history archive.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0055.jpg
75-0056,lh-75-0056.jpg,jpg,623067,608.5 KB,2880,2368,6.82,0c0d4d694ae9a9af1c78a3a1ea20d12e,adc8199725690938caa7e587d671951a8a72e10126879c6f0adbd3d8e6c3d3bb,Isabel Walker Drake Family Photo,c.1900,rural landscape; open field; early 1900s; black and white photograph; archival image,"A circular-framed black and white photograph showing an open rural field with scattered figures and trees in the distance, circa 1900, from the Isabel Walker Drake Family collection (archive ID 75-0056).",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0056.jpg
75-0057,lh-75-0057.jpg,jpg,864463,844.2 KB,2951,2327,6.87,5f5bc6cdb1730400c303cbda481aa825,1d2a6e20acf072ed3ae90405a44ab10c7bb3d7ac59c13cf9423bab33fac32c1d,Isabel Walker Drake Family Photo,c. 1900,family portrait; early 1900s; women; garden gate; church steeple; black and white photograph,"A black and white photograph from circa 1900 showing two women standing at a garden gate with a church steeple visible in the background, identified as the Isabel Walker Drake Family Photo from the Corning, NY local history archive.",https://corningnyhistory.com/wp-content/uploads/2024/01/lh-75-0057.jpg
